area,waterbody,gazetted_name,local_name_1,local_name_2,analysis_yr,species,natural_adult_spawners,natural_jack_spawners,natural_spawners_total,adult_broodstock_removals,jack_broodstock_removals,total_broodstock_removals,other_removals,total_return_to_river,enumeration_methods,adult_presence,jack_presence,start_dtt,end_dtt,natural_adult_females,natural_adult_males,effective_females,weighted_pct_spawn,watershed_cde,waterbody_id,population,run_type,stream_arrival_dt_from,stream_arrival_dt_to,start_spawn_dt_from,start_spawn_dt_to,peak_spawn_dt_from,peak_spawn_dt_to,end_spawn_dt_from,end_spawn_dt_to,accuracy,precision,index_yn,reliability,estimate_stage,estimate_classification,no_inspections_used,estimate_method,created_dtt,updated_dtt,act_id,pop_id,gfe_id
4C,EAST KISPIOX RIVER,EAST KISPIOX RIVER,EAST KISPIOX RIVER,NA,1967,Sockeye,NA,NA,NA,NA,NA,NA,NA,NA,NA,NOT INSPECTED,UNKNOWN,NA,NA,NA,NA,NA,NA,470-734700-00000-00000-0000-0000-000-000-000-000-000-000,00000KISP,East Kispiox River (Hazelton) Sockeye,NA,NA,NA,NA,NA,NA,NA,NA,NA,UNK,UNK,NA,NA,FINAL,UNKNOWN,NA,Not Applicable,01-JAN-00,NA,995272,49344,589
4D,BULKLEY RIVER - LOWER,BULKLEY RIVER,BULKLEY RIVER - LOWER,NA,1986,Pink,NA,NA,NA,NA,NA,NA,NA,3000,Walk,PRESENT,UNKNOWN,NA,NA,NA,NA,NA,NA,460-000000-00000-00000-0000-0000-000-000-000-000-000-000,00000BULK,Bulkley River - Lower (Smithers) Pink,NA,NA,NA,20-AUG-86,NA,07-SEP-86,NA,15-SEP-86,NA,MED,UNK,NA,NA,NEAR FINAL,UNKNOWN,NA,Unknown Estimate Method,01-JAN-00,NA,765706,47852,540
4C,KISPIOX RIVER,KISPIOX RIVER,KISPIOX RIVER,NA,1982,Coho,NA,NA,NA,NA,NA,NA,NA,NA,NA,NOT INSPECTED,UNKNOWN,NA,NA,NA,NA,NA,NA,470-000000-00000-00000-0000-0000-000-000-000-000-000-000,00000KISP,Kispiox River (Hazelton) Coho,NA,NA,NA,NA,NA,NA,NA,NA,NA,UNK,UNK,NA,NA,FINAL,UNKNOWN,NA,Not Applicable,01-JAN-00,NA,910878,49235,566
4C,EAST KISPIOX RIVER,EAST KISPIOX RIVER,EAST KISPIOX RIVER,NA,1967,Chinook,NA,NA,NA,NA,NA,NA,NA,NA,NA,NOT INSPECTED,UNKNOWN,NA,NA,NA,NA,NA,NA,470-734700-00000-00000-0000-0000-000-000-000-000-000-000,00000KISP,East Kispiox River (Hazelton) Chinook,NA,NA,NA,NA,NA,NA,NA,NA,NA,UNK,UNK,NA,NA,FINAL,UNKNOWN,NA,Not Applicable,01-JAN-00,NA,905917,49348,589
4D,BULKLEY RIVER - LOWER,BULKLEY RIVER,BULKLEY RIVER - LOWER,NA,1990,Pink,NA,NA,NA,NA,NA,NA,NA,5000,NA,PRESENT,UNKNOWN,NA,NA,NA,NA,NA,NA,460-000000-00000-00000-0000-0000-000-000-000-000-000-000,00000BULK,Bulkley River - Lower (Smithers) Pink,NA,NA,NA,25-AUG-90,NA,05-SEP-90,NA,15-SEP-90,NA,UNK,UNK,NA,NA,NEAR FINAL,UNKNOWN,NA,Unknown Estimate Method,01-JAN-00,NA,915843,47852,540
4C,KISPIOX RIVER,KISPIOX RIVER,KISPIOX RIVER,NA,1978,Coho,NA,NA,NA,NA,NA,NA,NA,1500,NA,PRESENT,UNKNOWN,15-AUG-78,15-SEP-78,NA,NA,NA,NA,470-000000-00000-00000-0000-0000-000-000-000-000-000-000,00000KISP,Kispiox River (Hazelton) Coho,NA,15-SEP-78,NA,15-OCT-78,NA,01-NOV-78,NA,30-NOV-78,NA,UNK,UNK,NA,NA,NEAR FINAL,UNKNOWN,NA,Unknown Estimate Method,01-JAN-00,NA,913984,49235,566
4B,KITSUMKALUM RIVER - LOWER,KITSUMKALUM RIVER,KITSUMKALUM RIVER - LOWER,KALUM RIVER,1982,Chinook,NA,NA,NA,NA,NA,NA,NA,5500,NA,PRESENT,UNKNOWN,15-JUL-82,15-DEC-82,NA,NA,NA,NA,430-000000-00000-00000-0000-0000-000-000-000-000-000-000,00000KLUM,Kitsumkalum River - Lower (Terrace) Chinook,NA,15-JUL-82,NA,25-AUG-82,NA,15-SEP-82,NA,15-OCT-82,NA,UNK,UNK,NA,NA,NEAR FINAL,UNKNOWN,NA,Unknown Estimate Method,01-JAN-00,NA,898689,47759,521
4B,KITSUMKALUM RIVER - LOWER,KITSUMKALUM RIVER,KITSUMKALUM RIVER - LOWER,KALUM RIVER,1986,Chum,NA,NA,NA,NA,NA,NA,NA,100,"Float, Spot Checks",PRESENT,UNKNOWN,01-JUL-86,01-DEC-86,NA,NA,NA,NA,430-000000-00000-00000-0000-0000-000-000-000-000-000-000,00000KLUM,Kitsumkalum River - Lower (Terrace) Chum,NA,01-AUG-86,NA,15-AUG-86,NA,05-SEP-86,NA,25-SEP-86,NA,LOW,UNK,NA,NA,NEAR FINAL,UNKNOWN,NA,Unknown Estimate Method,01-JAN-00,NA,893504,47758,521
4D,MORICE RIVER,MORICE RIVER,MORICE RIVER,NA,1966,Chinook,NA,NA,NA,NA,NA,NA,NA,6000,NA,PRESENT,UNKNOWN,01-AUG-66,31-OCT-66,NA,NA,NA,NA,460-600600-00000-00000-0000-0000-000-000-000-000-000-000,00000MORR,Morice River (Smithers) Chinook,NA,NA,NA,15-AUG-66,NA,05-SEP-66,NA,20-SEP-66,NA,UNK,UNK,NA,NA,NEAR FINAL,UNKNOWN,NA,Unknown Estimate Method,01-JAN-00,NA,991244,49188,556
4B,KITSUMKALUM LAKE,KITSUMKALUM LAKE,KITSUMKALUM LAKE,KALUM LAKE,1996,Sockeye,NA,NA,NA,NA,NA,NA,NA,1900,NA,PRESENT,UNKNOWN,NA,NA,NA,NA,NA,NA,430-000000-00000-00000-0000-0000-000-000-000-000-000-000,00511KLUM,Kitsumkalum Lake (Terrace) Sockeye,NA,NA,NA,NA,NA,NA,NA,NA,NA,UNK,UNK,NA,NA,FINAL,UNKNOWN,NA,Unknown Estimate Method,01-JAN-00,NA,928635,47745,519
4D,BULKLEY RIVER - UPPER,BULKLEY RIVER,BULKLEY RIVER - UPPER,NA,1968,Coho,NA,NA,NA,NA,NA,NA,NA,1000,NA,PRESENT,UNKNOWN,NA,NA,NA,NA,NA,NA,460-000000-00000-00000-0000-0000-000-000-000-000-000-000,00000BULK,Bulkley River - Upper (Smithers) Coho,NA,NA,NA,NA,NA,NA,NA,NA,NA,UNK,UNK,NA,NA,FINAL,UNKNOWN,NA,Unknown Estimate Method,01-JAN-00,NA,894983,47856,541
4D,MORICE RIVER,MORICE RIVER,MORICE RIVER,NA,1956,Coho,NA,NA,NA,NA,NA,NA,NA,15000,NA,PRESENT,UNKNOWN,NA,NA,NA,NA,NA,NA,460-600600-00000-00000-0000-0000-000-000-000-000-000-000,00000MORR,Morice River (Smithers) Coho,NA,NA,NA,10-OCT-56,NA,NA,NA,10-DEC-56,NA,UNK,UNK,NA,NA,FINAL,UNKNOWN,NA,Unknown Estimate Method,01-JAN-00,NA,838435,49185,556
4B,KITSUMKALUM RIVER - LOWER,KITSUMKALUM RIVER,KITSUMKALUM RIVER - LOWER,KALUM RIVER,1965,Pink,NA,NA,NA,NA,NA,NA,NA,400,NA,PRESENT,UNKNOWN,18-AUG-65,15-DEC-65,NA,NA,NA,NA,430-000000-00000-00000-0000-0000-000-000-000-000-000-000,00000KLUM,Kitsumkalum River - Lower (Terrace) Pink,NA,NA,NA,15-AUG-65,NA,15-AUG-65,NA,15-SEP-65,NA,UNK,UNK,NA,NA,NEAR FINAL,UNKNOWN,NA,Unknown Estimate Method,01-JAN-00,NA,857887,47757,521
4B,KITSUMKALUM RIVER - UPPER,KITSUMKALUM RIVER,KITSUMKALUM RIVER - UPPER,BEAVER RIVER,1982,Pink,NA,NA,NA,NA,NA,NA,NA,25,NA,PRESENT,UNKNOWN,15-AUG-82,15-OCT-82,NA,NA,NA,NA,430-000000-00000-00000-0000-0000-000-000-000-000-000-000,00000KLUM,Kitsumkalum River - Upper (Terrace) Pink,NA,15-AUG-82,NA,15-AUG-82,NA,01-SEP-82,NA,15-SEP-82,NA,UNK,UNK,NA,NA,NEAR FINAL,UNKNOWN,NA,Unknown Estimate Method,01-JAN-00,NA,856129,47752,520
4D,MORICE LAKE,MORICE LAKE,MORICE LAKE,NA,1953,Chum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NOT INSPECTED,UNKNOWN,NA,NA,NA,NA,NA,NA,460-600600-00000-00000-0000-0000-000-000-000-000-000-000,01266MORR,Morice Lake (Smithers) Chum,NA,NA,NA,NA,NA,NA,NA,NA,NA,UNK,UNK,NA,NA,FINAL,UNKNOWN,NA,Not Applicable,01-JAN-00,NA,837827,49192,557
4D,BULKLEY RIVER - UPPER,BULKLEY RIVER,BULKLEY RIVER - UPPER,NA,1956,Coho,NA,NA,NA,NA,NA,NA,NA,7500,NA,PRESENT,UNKNOWN,NA,NA,NA,NA,NA,NA,460-000000-00000-00000-0000-0000-000-000-000-000-000-000,00000BULK,Bulkley River - Upper (Smithers) Coho,NA,NA,NA,10-OCT-56,NA,NA,NA,30-NOV-56,NA,UNK,UNK,NA,NA,FINAL,UNKNOWN,NA,Unknown Estimate Method,01-JAN-00,NA,838870,47856,541
4B,KITSUMKALUM RIVER - UPPER,KITSUMKALUM RIVER,KITSUMKALUM RIVER - UPPER,BEAVER RIVER,1960,Coho,NA,NA,NA,NA,NA,NA,NA,NA,NA,NOT INSPECTED,UNKNOWN,NA,NA,NA,NA,NA,NA,430-000000-00000-00000-0000-0000-000-000-000-000-000-000,00000KLUM,Kitsumkalum River - Upper (Terrace) Coho,NA,NA,NA,NA,NA,NA,NA,NA,NA,UNK,UNK,NA,NA,FINAL,UNKNOWN,NA,Not Applicable,01-JAN-00,NA,882741,47751,520
4B,KITSUMKALUM LAKE,KITSUMKALUM LAKE,KITSUMKALUM LAKE,KALUM LAKE,1997,Sockeye,NA,NA,NA,NA,NA,NA,NA,3650,NA,PRESENT,UNKNOWN,NA,NA,NA,NA,NA,NA,430-000000-00000-00000-0000-0000-000-000-000-000-000-000,00511KLUM,Kitsumkalum Lake (Terrace) Sockeye,NA,NA,NA,NA,NA,NA,NA,NA,NA,UNK,UNK,NA,NA,FINAL,UNKNOWN,NA,Unknown Estimate Method,01-JAN-00,NA,879200,47745,519
4B,KITSUMKALUM RIVER - UPPER,KITSUMKALUM RIVER,KITSUMKALUM RIVER - UPPER,BEAVER RIVER,1957,Chum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NOT INSPECTED,UNKNOWN,NA,NA,NA,NA,NA,NA,430-000000-00000-00000-0000-0000-000-000-000-000-000-000,00000KLUM,Kitsumkalum River - Upper (Terrace) Chum,NA,NA,NA,NA,NA,NA,NA,NA,NA,UNK,UNK,NA,NA,FINAL,UNKNOWN,NA,Not Applicable,01-JAN-00,NA,991729,47753,520
4B,ZYMOETZ RIVER - UPPER,ZYMOETZ RIVER,ZYMOETZ RIVER- UPPER,MCDONELL LAKE SYSTEM,1965,Coho,NA,NA,NA,NA,NA,NA,NA,500,NA,PRESENT,UNKNOWN,NA,NA,NA,NA,NA,NA,440-000000-00000-00000-0000-0000-000-000-000-000-000-000,00000ZYMO,Zymoetz River- Upper (Terrace) Coho,NA,NA,NA,NA,NA,NA,NA,NA,NA,UNK,UNK,NA,NA,FINAL,UNKNOWN,NA,Unknown Estimate Method,01-JAN-00,NA,972239,47821,534
4B,KITSUMKALUM LAKE,KITSUMKALUM LAKE,KITSUMKALUM LAKE,KALUM LAKE,1978,Sockeye,NA,NA,NA,NA,NA,NA,NA,400,NA,PRESENT,UNKNOWN,15-AUG-78,15-OCT-78,NA,NA,NA,NA,430-000000-00000-00000-0000-0000-000-000-000-000-000-000,00511KLUM,Kitsumkalum Lake (Terrace) Sockeye,NA,15-AUG-78,NA,15-OCT-78,NA,15-OCT-78,NA,15-NOV-78,NA,UNK,UNK,NA,NA,NEAR FINAL,UNKNOWN,NA,Unknown Estimate Method,01-JAN-00,NA,998675,47745,519
4B,KITSUMKALUM LAKE,KITSUMKALUM LAKE,KITSUMKALUM LAKE,KALUM LAKE,2004,Sockeye,5000,NA,NA,NA,NA,NA,NA,NA,NA,PRESENT,UNKNOWN,15-SEP-04,25-NOV-04,NA,NA,NA,NA,430-000000-00000-00000-0000-0000-000-000-000-000-000-000,00511KLUM,Kitsumkalum Lake (Terrace) Sockeye,NA,11-AUG-04,20-AUG-04,21-AUG-04,30-AUG-04,21-OCT-04,30-OCT-04,01-DEC-04,10-DEC-04,UNK,UNK,NA,NA,FINAL,RELATIVE ABUNDANCE (TYPE-4),5,Area Under the Curve,12-AUG-05,NA,70217995,47745,519
4B,KITSUMKALUM RIVER - UPPER,KITSUMKALUM RIVER,KITSUMKALUM RIVER - UPPER,BEAVER RIVER,1998,Chum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NOT INSPECTED,NA,NA,NA,NA,NA,NA,NA,430-000000-00000-00000-0000-0000-000-000-000-000-000-000,00000KLUM,Kitsumkalum River - Upper (Terrace) Chum,NA,NA,NA,NA,NA,NA,NA,NA,NA,UNK,UNK,NA,NA,FINAL,UNKNOWN,0,Unknown Estimate Method,03-FEB-06,NA,26358556,47753,520
4D,MORICE RIVER,MORICE RIVER,MORICE RIVER,NA,2001,Coho,NA,NA,NA,NA,NA,NA,NA,NA,Other,PRESENT,NA,NA,NA,NA,NA,NA,NA,460-600600-00000-00000-0000-0000-000-000-000-000-000-000,00000MORR,Morice River (Smithers) Coho,NA,NA,NA,NA,NA,NA,NA,NA,NA,UNK,UNK,NA,NA,FINAL,UNKNOWN,2,Unknown Estimate Method,03-FEB-06,NA,83488203,49185,556
4B,KITSUMKALUM RIVER - UPPER,KITSUMKALUM RIVER,KITSUMKALUM RIVER - UPPER,BEAVER RIVER,2002,Pink,NA,NA,NA,NA,NA,NA,NA,NA,NA,NOT INSPECTED,NA,NA,NA,NA,NA,NA,NA,430-000000-00000-00000-0000-0000-000-000-000-000-000-000,00000KLUM,Kitsumkalum River - Upper (Terrace) Pink,NA,NA,NA,NA,NA,NA,NA,NA,NA,UNK,UNK,NA,NA,FINAL,UNKNOWN,0,Unknown Estimate Method,03-FEB-06,NA,12995102,47752,520
4D,MORICE RIVER,MORICE RIVER,MORICE RIVER,NA,2002,Coho,NA,NA,NA,NA,NA,NA,NA,NA,Other,PRESENT,NA,NA,NA,NA,NA,NA,NA,460-600600-00000-00000-0000-0000-000-000-000-000-000-000,00000MORR,Morice River (Smithers) Coho,NA,NA,NA,NA,NA,NA,NA,NA,NA,UNK,UNK,NA,NA,FINAL,UNKNOWN,NA,Unknown Estimate Method,03-FEB-06,NA,21197171,49185,556
4B,ZYMOETZ RIVER - UPPER,ZYMOETZ RIVER,ZYMOETZ RIVER- UPPER,MCDONELL LAKE SYSTEM,2008,Sockeye,140,NA,NA,NA,NA,NA,NA,NA,NA,PRESENT,UNKNOWN,15-AUG-08,13-OCT-08,NA,NA,NA,NA,440-000000-00000-00000-0000-0000-000-000-000-000-000-000,00000ZYMO,Zymoetz River- Upper (Terrace) Sockeye,NA,11-AUG-08,20-AUG-08,11-AUG-08,20-AUG-08,21-AUG-08,30-AUG-08,11-SEP-08,20-SEP-08,UNK,UNK,N,NA,FINAL,RELATIVE ABUNDANCE (TYPE-4),3,Area Under the Curve,21-AUG-09,NA,76916423,47820,534
4B,KITSUMKALUM RIVER - UPPER,KITSUMKALUM RIVER,KITSUMKALUM RIVER - UPPER,BEAVER RIVER,2006,Coho,NA,NA,NA,NA,NA,NA,NA,NA,NA,PRESENT,UNKNOWN,21-NOV-06,21-NOV-06,NA,NA,NA,NA,430-000000-00000-00000-0000-0000-000-000-000-000-000-000,00000KLUM,Kitsumkalum River - Upper (Terrace) Coho,NA,NA,NA,NA,NA,NA,NA,NA,NA,UNK,UNK,NA,NA,FINAL,PRESENCE-ABSENCE (TYPE-6),1,Expert Opinion,03-AUG-07,NA,12628828,47751,520
4B,ZYMOETZ RIVER - LOWER,ZYMOETZ RIVER,ZYMOETZ RIVER - LOWER,COPPER RIVER,2003,Chum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NOT INSPECTED,NA,NA,NA,NA,NA,NA,NA,440-000000-00000-00000-0000-0000-000-000-000-000-000-000,00000ZYMO,Zymoetz River - Lower (Terrace) Chum,NA,NA,NA,NA,NA,NA,NA,NA,NA,UNK,UNK,NA,NA,FINAL,UNKNOWN,0,Unknown Estimate Method,03-FEB-06,NA,28440178,47818,533
4D,BULKLEY RIVER - LOWER,BULKLEY RIVER,BULKLEY RIVER - LOWER,NA,2003,Coho,NA,NA,NA,NA,NA,NA,NA,NA,NA,NOT INSPECTED,NA,NA,NA,NA,NA,NA,NA,460-000000-00000-00000-0000-0000-000-000-000-000-000-000,00000BULK,Bulkley River - Lower (Smithers) Coho,NA,NA,NA,NA,NA,NA,NA,NA,NA,UNK,UNK,NA,NA,FINAL,UNKNOWN,0,Unknown Estimate Method,03-FEB-06,NA,85742469,47851,540
4D,BULKLEY RIVER - UPPER,BULKLEY RIVER,BULKLEY RIVER - UPPER,NA,2005,Pink,NA,NA,NA,NA,NA,NA,NA,NA,NA,NOT INSPECTED,UNKNOWN,13-JUL-05,18-NOV-05,NA,NA,NA,NA,460-000000-00000-00000-0000-0000-000-000-000-000-000-000,00000BULK,Bulkley River - Upper (Smithers) Pink,NA,NA,NA,NA,NA,NA,NA,NA,NA,UNK,UNK,N,NA,FINAL,PRESENCE-ABSENCE (TYPE-6),NA,Expert Opinion,18-AUG-06,NA,89548863,47857,541
4D,MORICE RIVER,MORICE RIVER,MORICE RIVER,NA,2008,Coho,NA,NA,NA,NA,NA,NA,NA,NA,NA,PRESENT,UNKNOWN,05-SEP-08,08-OCT-08,NA,NA,NA,NA,460-600600-00000-00000-0000-0000-000-000-000-000-000-000,00000MORR,Morice River (Smithers) Coho,NA,21-AUG-08,30-AUG-08,11-OCT-08,20-OCT-08,21-OCT-08,30-OCT-08,01-NOV-08,10-NOV-08,UNK,UNK,Y,NA,FINAL,PRESENCE-ABSENCE (TYPE-6),2,Expert Opinion,21-AUG-09,NA,77315035,49185,556
4D,MORICE LAKE,MORICE LAKE,MORICE LAKE,NA,2009,Sockeye,516,NA,NA,NA,NA,NA,NA,NA,NA,PRESENT,UNKNOWN,01-SEP-09,30-SEP-09,NA,NA,NA,NA,460-600600-00000-00000-0000-0000-000-000-000-000-000-000,01266MORR,Morice Lake (Smithers) Sockeye,NA,01-AUG-09,10-AUG-09,21-AUG-09,30-AUG-09,01-SEP-09,10-SEP-09,21-SEP-09,30-SEP-09,UNK,UNK,N,NA,FINAL,RELATIVE ABUNDANCE (TYPE-5),2,Peak Live + Dead,29-JUL-10,NA,78396181,49189,557
4C,KISPIOX RIVER,KISPIOX RIVER,KISPIOX RIVER,NA,2008,Sockeye,NA,NA,NA,NA,NA,NA,NA,NA,NA,PRESENT,UNKNOWN,20-AUG-08,29-SEP-08,NA,NA,NA,NA,470-000000-00000-00000-0000-0000-000-000-000-000-000-000,00000KISP,Kispiox River (Hazelton) Sockeye,NA,01-SEP-08,10-SEP-08,01-SEP-08,10-SEP-08,11-SEP-08,20-SEP-08,21-SEP-08,30-SEP-08,UNK,UNK,N,NA,FINAL,PRESENCE-ABSENCE (TYPE-6),3,Other Estimate Method,21-AUG-09,NA,59864161,49234,566
4C,KISPIOX RIVER,KISPIOX RIVER,KISPIOX RIVER,NA,2008,Pink,NA,NA,NA,NA,NA,NA,NA,NA,NA,NOT INSPECTED,UNKNOWN,20-AUG-08,29-SEP-08,NA,NA,NA,NA,470-000000-00000-00000-0000-0000-000-000-000-000-000-000,00000KISP,Kispiox River (Hazelton) Pink,NA,NA,NA,NA,NA,NA,NA,NA,NA,UNK,UNK,Y,NA,FINAL,PRESENCE-ABSENCE (TYPE-6),NA,Expert Opinion,21-AUG-09,NA,62198359,49236,566
4D,BULKLEY RIVER - LOWER,BULKLEY RIVER,BULKLEY RIVER - LOWER,NA,2007,Pink,NA,NA,NA,NA,NA,NA,NA,NA,NA,PRESENT,UNKNOWN,19-SEP-07,19-SEP-07,NA,NA,NA,NA,460-000000-00000-00000-0000-0000-000-000-000-000-000-000,00000BULK,Bulkley River - Lower (Smithers) Pink,NA,NA,NA,NA,NA,NA,NA,NA,NA,UNK,UNK,Y,NA,FINAL,PRESENCE-ABSENCE (TYPE-6),NA,Expert Opinion,12-SEP-08,NA,41672874,47852,540
4B,ZYMOETZ RIVER - UPPER,ZYMOETZ RIVER,ZYMOETZ RIVER- UPPER,MCDONELL LAKE SYSTEM,2012,Sockeye,1970,NA,NA,NA,NA,NA,NA,NA,NA,PRESENT,UNKNOWN,14-AUG-12,07-NOV-12,NA,NA,NA,NA,440-000000-00000-00000-0000-0000-000-000-000-000-000-000,00000ZYMO,Zymoetz River- Upper (Terrace) Sockeye,NA,01-AUG-12,10-AUG-12,11-AUG-12,20-AUG-12,21-AUG-12,30-AUG-12,11-SEP-12,20-SEP-12,UNK,UNK,Y,NA,FINAL,RELATIVE ABUNDANCE (TYPE-3),3,Area Under the Curve,09-MAY-13,NA,28078672,47820,534
4D,MORICE RIVER,MORICE RIVER,MORICE RIVER,NA,2011,Chinook,16263,NA,NA,NA,NA,NA,NA,NA,NA,PRESENT,UNKNOWN,01-SEP-11,28-NOV-11,NA,NA,NA,NA,460-600600-00000-00000-0000-0000-000-000-000-000-000-000,00000MORR,Morice River (Smithers) Chinook,NA,01-JUL-11,10-JUL-11,21-AUG-11,30-AUG-11,11-SEP-11,20-SEP-11,01-OCT-11,10-OCT-11,UNK,UNK,N,NA,FINAL,RELATIVE ABUNDANCE (TYPE-3),5,Area Under the Curve,30-JUL-12,NA,26662127,49188,556
4B,ZYMOETZ RIVER - UPPER,ZYMOETZ RIVER,ZYMOETZ RIVER- UPPER,MCDONELL LAKE SYSTEM,2011,Sockeye,2209,NA,NA,NA,NA,NA,NA,NA,NA,PRESENT,UNKNOWN,26-AUG-11,18-OCT-11,NA,NA,NA,NA,440-000000-00000-00000-0000-0000-000-000-000-000-000-000,00000ZYMO,Zymoetz River- Upper (Terrace) Sockeye,NA,01-AUG-11,10-AUG-11,21-AUG-11,30-AUG-11,11-SEP-11,20-SEP-11,21-SEP-11,30-SEP-11,UNK,UNK,N,NA,FINAL,RELATIVE ABUNDANCE (TYPE-4),3,Area Under the Curve,30-JUL-12,NA,56266375,47820,534
4B,ZYMOETZ RIVER - LOWER,ZYMOETZ RIVER,ZYMOETZ RIVER - LOWER,COPPER RIVER,1997,Pink,NA,NA,NA,NA,NA,NA,NA,NA,NA,NOT INSPECTED,UNKNOWN,NA,NA,NA,NA,NA,NA,440-000000-00000-00000-0000-0000-000-000-000-000-000-000,00000ZYMO,Zymoetz River - Lower (Terrace) Pink,NA,NA,NA,NA,NA,NA,NA,NA,NA,UNK,UNK,NA,NA,FINAL,UNKNOWN,NA,Not Applicable,24-DEC-15,NA,10605306,47817,533
4B,ZYMOETZ RIVER - LOWER,ZYMOETZ RIVER,ZYMOETZ RIVER - LOWER,COPPER RIVER,2013,Pink,NA,NA,NA,NA,NA,NA,NA,NA,NA,NOT INSPECTED,UNKNOWN,NA,NA,NA,NA,NA,NA,440-000000-00000-00000-0000-0000-000-000-000-000-000-000,00000ZYMO,Zymoetz River - Lower (Terrace) Pink,NA,NA,NA,NA,NA,NA,NA,NA,NA,UNK,UNK,NA,NA,FINAL,UNKNOWN,NA,Not Applicable,24-DEC-15,NA,47413001,47817,533
4B,KITSUMKALUM RIVER - UPPER,KITSUMKALUM RIVER,KITSUMKALUM RIVER - UPPER,BEAVER RIVER,2019,Coho,NA,NA,NA,NA,NA,NA,NA,NA,NA,NOT INSPECTED,UNKNOWN,NA,NA,NA,NA,NA,NA,430-000000-00000-00000-0000-0000-000-000-000-000-000-000,00000KLUM,Kitsumkalum River - Upper (Terrace) Coho,NA,NA,NA,NA,NA,NA,NA,NA,NA,UNK,UNK,N,NA,FINAL,PRESENCE-ABSENCE (TYPE-6),NA,Expert Opinion,24-NOV-20,NA,81070308,47751,520
4B,KITSUMKALUM RIVER - UPPER,KITSUMKALUM RIVER,KITSUMKALUM RIVER - UPPER,BEAVER RIVER,2019,Chinook,NA,NA,NA,NA,NA,NA,NA,NA,NA,NOT INSPECTED,UNKNOWN,NA,NA,NA,NA,NA,NA,430-000000-00000-00000-0000-0000-000-000-000-000-000-000,00000KLUM,Kitsumkalum River - Upper (Terrace) Chinook,NA,NA,NA,NA,NA,NA,NA,NA,NA,UNK,UNK,N,NA,FINAL,PRESENCE-ABSENCE (TYPE-6),NA,Expert Opinion,24-NOV-20,NA,46303256,47754,520
4B,KITSUMKALUM LAKE,KITSUMKALUM LAKE,KITSUMKALUM LAKE,KALUM LAKE,1988,Coho,NA,NA,NA,NA,NA,NA,NA,NA,NA,NOT INSPECTED,UNKNOWN,NA,NA,NA,NA,NA,NA,430-000000-00000-00000-0000-0000-000-000-000-000-000-000,00511KLUM,Kitsumkalum Lake (Terrace) Coho,NA,NA,NA,NA,NA,NA,NA,NA,NA,UNK,UNK,NA,NA,FINAL,UNKNOWN,NA,Not Applicable,24-DEC-15,NA,38360356,47746,519
4B,KITSUMKALUM LAKE,KITSUMKALUM LAKE,KITSUMKALUM LAKE,KALUM LAKE,1993,Coho,NA,NA,NA,NA,NA,NA,NA,NA,NA,NOT INSPECTED,UNKNOWN,NA,NA,NA,NA,NA,NA,430-000000-00000-00000-0000-0000-000-000-000-000-000-000,00511KLUM,Kitsumkalum Lake (Terrace) Coho,NA,NA,NA,NA,NA,NA,NA,NA,NA,UNK,UNK,NA,NA,FINAL,UNKNOWN,NA,Not Applicable,24-DEC-15,NA,32729723,47746,519
4B,KITSUMKALUM LAKE,KITSUMKALUM LAKE,KITSUMKALUM LAKE,KALUM LAKE,1995,Coho,NA,NA,NA,NA,NA,NA,NA,NA,NA,NOT INSPECTED,UNKNOWN,NA,NA,NA,NA,NA,NA,430-000000-00000-00000-0000-0000-000-000-000-000-000-000,00511KLUM,Kitsumkalum Lake (Terrace) Coho,NA,NA,NA,NA,NA,NA,NA,NA,NA,UNK,UNK,NA,NA,FINAL,UNKNOWN,NA,Not Applicable,24-DEC-15,NA,13289507,47746,519
4B,ZYMOETZ RIVER - UPPER,ZYMOETZ RIVER,ZYMOETZ RIVER- UPPER,MCDONELL LAKE SYSTEM,1949,Sockeye,NA,NA,NA,NA,NA,NA,NA,1200,NA,PRESENT,UNKNOWN,NA,NA,NA,NA,NA,NA,440-000000-00000-00000-0000-0000-000-000-000-000-000-000,00000ZYMO,Zymoetz River- Upper (Terrace) Sockeye,NA,NA,NA,NA,NA,NA,NA,NA,NA,UNK,UNK,NA,NA,FINAL,UNKNOWN,NA,Unknown Estimate Method,27-OCT-14,NA,14089396,47820,534
4B,KITSUMKALUM RIVER - LOWER,KITSUMKALUM RIVER,KITSUMKALUM RIVER - LOWER,KALUM RIVER,1926,Chinook,NA,NA,NA,NA,NA,NA,NA,NA,NA,PRESENT,UNKNOWN,NA,NA,NA,NA,NA,NA,430-000000-00000-00000-0000-0000-000-000-000-000-000-000,00000KLUM,Kitsumkalum River - Lower (Terrace) Chinook,NA,NA,NA,NA,NA,NA,NA,NA,NA,UNK,UNK,NA,NA,FINAL,UNKNOWN,NA,Unknown Estimate Method,27-OCT-14,NA,13128097,47759,521
