rowid,reference_number,gazetted_names,local_name,waterbody_id,reach_number,site_number,channel_width_m,channel_width_m_2,channel_width_m_3,channel_width_m_4,channel_width_m_5,channel_width_m_6,channel_width_m_7,avg_channel_width_m,method_for_channel_width,wetted_width_m,wetted_width_m_2,wetted_width_m_3,wetted_width_m_4,wetted_width_m_5,wetted_width_m_6,wetted_width_m_7,avg_wetted_width_m,method_for_wetted_width,residual_pool_depth_m,residual_pool_depth_m_2,residual_pool_depth_m_3,residual_pool_depth_m_4,residual_pool_depth_m_5,residual_pool_depth_m_6,residual_pool_depth_m_7,average_residual_pool_depth_m,method_for_residual_pool_depth,bankfull_depth_number_1_m,bankfull_depth_number_2_m,bankfull_depth_number_3_m,bankfull_depth_number_4_m,average_bankfull_depth_m,method_for_bankfull_depth,gradient_number_1_percent,gradient_number_2_percent,gradient,gradient_number_4_percent,average_gradient_percent,method_for_gradient,stage,tributaries,temperature_c,method_for_temperature,conductivity_m_s_cm,method_for_conductivity,p_h,method_for_p_h,turbidity,total_cover,small_woody_debris,large_woody_debris,boulders,undercut_banks,deep_pools,overhanging_vegetation,instream_vegetation,crown_closure,functional_lwd,lwd_distribution,instream_vegetation_type,l_bank_shape,l_bank_texture_dominant_1,l_bank_texture_dominant_2,l_bank_riparian_vegetation,l_bank_riparian_vegetation_stage,r_bank_shape,r_bank_texture_dominant_1,r_bank_texture_dominant_2,r_bank_riparian_vegetation,r_bank_riparian_vegetation_stage,bed_material_dominant,bed_material_subdominant,d95_cm,d_cm,morphology,channel_pattern,coupling,confinement,feature_type,feature_height_m,feature_length_m,feature_height_length_method,utm_zone,utm_easting,utm_northing,utm_method,comments,survey_date,time
44,,Tributary to Tagit Creek,198022_ds,,,,2.2,2,1.2,1.6,1.8,,,,metre tape,1.2,,,,,,,,metre tape,,,,,,,,,metre stick,0.4,,,,,metre stick,2,4,,,,clinometer,low,,,recording meter,,recording meter,,pH meter (general),clear,moderate,sub-dominant,dominant,trace,trace,none,sub-dominant,none,1-20%,few,evenly distributed,none,V-shaped,cobbles,gravels,coniferous forest,mature forest,sloping,cobbles,gravels,mixed forest,mature forest,cobbles,gravels,,,riffle-pool,regular meanders,Decoupled,frequently confined,dewatering,,150,,,,,,Water present in sporadic pools and brief stretches first 100m. Stream dewaters approx 100m downstream of culvert (waypoint 273). Small channel with some gravels present. Cobbles are predominant stream substrate. Stream flows through steep confined valley. Water flowing in Tagit Creek at confluence. Massive downed trees creating a log jam directly at confluence.  13:31:33,2023-09-27,13:31:33
45,,Thompson Creek,123377_ds_ef3,,,,4.1,3.9,3.7,,,,,,metre tape,2.2,3.1,3.1,,,,,,metre tape,0.35,,,,,,,,metre stick,,,,,,metre stick,0.5,,,,,clinometer,low,,9.7,recording meter,286,recording meter,8.3,pH meter (general),Moderately Turbid,moderate,,,,,,,,,,,,,,,,,,,,,,cobbles,gravels,,,,,,,,,,,,,,,Site is immediately below outlet of pipes to top of first large boulder line. Pool near outlet with steps up to 35 cm. Abundant small weed debris and boulder covered throughout the site.           14:56:55,2023-09-14,14:56:55
46,,Helps Creek,124500_ds_ef1,,,,3.4,3.6,2.8,,,,,,metre tape,2.6,2.9,2.6,,,,,,metre tape,0.5,,,,,,,,metre stick,0.4,,,,,metre stick,,,,,,clinometer,low,,9,recording meter,352,recording meter,7.8,pH meter (general),Moderately Turbid,moderate,sub-dominant,none,none,sub-dominant,dominant,sub-dominant,sub-dominant,1-20%,none,not applicable,algae,overhanging bank,fines,,grass,initial,overhanging bank,fines,,shrubs,shrub,fines,gravels,,,riffle-pool,sinuous,Decoupled,frequently confined,,,,,,,,,Slow Gagnon like wetland habitat with steps up to 0.5 m. Abundant algae covering substrate throughout.           13:52:50,2023-09-15,13:52:50
47,,Helps Creek,124500_ds_ef2,,,,3.1,2.5,2.7,,,,,,metre tape,2.6,2.3,2.7,,,,,,metre tape,0.25,,,,,,,,metre stick,0.4,,,,,metre stick,0.5,,,,,clinometer,low,,,recording meter,,recording meter,,pH meter (general),Moderately Turbid,moderate,trace,none,none,trace,trace,dominant,sub-dominant,1-20%,none,not applicable,algae,sloping,fines,,shrubs,shrub,undercut,fines,,grass,initial,,,,,,,,,,,,,,,,, Land type habitat with abundant algae throughout. A couple patches of gravel where gradient increases. Not as deep as the first site.           14:20:10,2023-09-15,14:20:10
48,,Helps Creek,124500_ds_ef3,,,,2.5,2.4,1.9,3.2,3.6,,,,metre tape,2,1.1,1.9,2.1,2.8,,,,metre tape,0.3,,,,,,,,metre stick,,,,,,metre stick,1,,,,,clinometer,low,,,recording meter,,recording meter,,pH meter (general),Moderately Turbid,moderate,trace,none,none,dominant,trace,sub-dominant,sub-dominant,1-20%,none,not applicable,algae,undercut,fines,,shrubs,shrub,V-shaped,gravels,,grass,initial,fines,gravels,,,riffle-pool,sinuous,Decoupled,frequently confined,,,,,,,,,Shallow sight with small gradient breaks of gravel. Predominantly substrate is fines in wetland type area with collapsing banks.           14:38:50,2023-09-15,14:38:50
49,,Helps Creek,124500_us_ef3,,,,2.9,2.7,3.2,3,,,,,metre tape,2.2,1.8,1.9,2.1,,,,,metre tape,,,,,,,,,metre stick,0.2,,,,,metre stick,0.5,,,,,clinometer,low,,11,recording meter,347,recording meter,7.8,pH meter (general),Moderately Turbid,trace,sub-dominant,none,none,none,none,sub-dominant,dominant,1-20%,none,not applicable,algae,sloping,fines,,grass,initial,sloping,fines,,shrubs,shrub,fines,,,,riffle-pool,straight,Decoupled,occasionally confined,,,,,,,,,Poor value shallow ruffle habitat with fine substrate. No deep pools or under Cutbanks. No fish captured.           16:15:49,2023-09-15,16:15:49
50,,Helps Creek,124500_us_ef1,,,,3.9,2.8,3.3,,,,,,metre tape,3.6,2.2,2.8,,,,,,metre tape,,,,,,,,,metre stick,,,,,,metre stick,0,,,,,clinometer,low,,,recording meter,,recording meter,,pH meter (general),Moderately Turbid,moderate,sub-dominant,none,none,none,dominant,sub-dominant,sub-dominant,21-40%,none,not applicable,algae,sloping,fines,,shrubs,shrub,V-shaped,fines,,shrubs,shrub,fines,,,,riffle-pool,sinuous,Decoupled,occasionally confined,,,,,,,,,One long pool with steps fairly consistent at 0.3 m very turbid water and large amounts of leaves provided cover on the surface. Many fish captured.           16:32:07,2023-09-15,16:32:07
51,,Helps Creek,124500_us_ef2,,,,4.5,4.5,4.7,,,,,,metre tape,4,4.2,4.5,,,,,,metre tape,,,,,,,,,metre stick,0.4,,,,,metre stick,0,,,,,clinometer,low,,,recording meter,,recording meter,,pH meter (general),Moderately Turbid,moderate,sub-dominant,sub-dominant,none,trace,dominant,sub-dominant,sub-dominant,41-70%,few,evenly distributed,algae,undercut,fines,fines,shrubs,shrub,V-shaped,fines,,shrubs,shrub,fines,,,,riffle-pool,sinuous,Decoupled,occasionally confined,,,,,,,,,Site is pool were fine substrate and abundant the flitter providing cover. Depths of up to 35 cm throughout. Many fish captured.  No card filled out. Waypoint 293         16:46:58,2023-09-15,16:46:58
52,,Tributary to Houston Tommy Creek,14000571_us,,,,3.2,2.6,2.6,3.4,2.8,4.6,3.9,,metre tape,1.9,1,1.4,1.9,1.6,2.6,1.4,,metre tape,0.5,0.45,0.5,0.45,0.5,,,,metre stick,0.45,0.4,0.5,,,metre stick,5,7,6,4,,clinometer,low,,,recording meter,,recording meter,,pH meter (general),clear,moderate,sub-dominant,sub-dominant,sub-dominant,trace,dominant,sub-dominant,none,21-40%,few,clumped,mosses,sloping,cobbles,gravels,coniferous forest,mature forest,sloping,cobbles,gravels,coniferous forest,mature forest,cobbles,gravels,,,step-pool,sinuous,Partially Coupled,confined,landslide or bank sloughing,30,30,,,,,,Moderate value habitat. Approximately 30 m high and 30 m long landslide at edge of clear cut on left bank 300m downstream of top road. Below the landslide sediments have led to sub surface flows with isolated deep pools for a section approximately 300m long.  Abundant gravels throughout. Sparse pools but likely deep enough for overwintering. Fish observed at culvert putlet at top end of site.        10:47:07,2023-09-16,10:47:07
53,,Tributary to Coal Creek,8525_ds,,,,1.8,1.9,1.9,1.8,1.7,1.5,,,metre tape,1.4,1.9,1.6,1.5,1.7,0.8,,,metre tape,0.2,,,,,,,,metre stick,0.3,0.3,0.3,,,metre stick,4,5,9.5,,,clinometer,low,,,recording meter,,recording meter,,pH meter (general),clear,moderate,sub-dominant,sub-dominant,none,dominant,trace,sub-dominant,trace,21-40%,few,evenly distributed,mosses,undercut,fines,,coniferous forest,mature forest,sloping,gravels,,coniferous forest,mature forest,gravels,cobbles,,,cascade-pool,sinuous,Partially Coupled,confined,,,,,,,,,Moderate value habitat. Low flow conditions with numerous areas dewatered but generally stream is running throughout area surveyed. Very limited deep pools with depths only to approximately 20 cm. Abundant gravel throughout. Dolly Varden and rainbow captured. Good flow for this time of year on a very dry year.  Waypoint 296.  11:24:38,2023-09-18,11:24:38
54,,Tributary to Coal Creek,8525_us,,,,1.5,2.3,1.9,2,1.9,,,,metre tape,0.8,2,1.9,1.7,1.9,,,,metre tape,0.5,0.45,0.5,0.2,,,,,metre stick,0.35,0.3,0.35,,,metre stick,3,1.5,0.5,0.5,,clinometer,low,,,recording meter,,recording meter,,pH meter (general),clear,moderate,sub-dominant,sub-dominant,none,dominant,trace,sub-dominant,trace,41-70%,few,evenly distributed,mosses,undercut,fines,,shrubs,shrub,sloping,gravels,,coniferous forest,mature forest,gravels,fines,,,riffle-pool,sinuous,Partially Coupled,occasionally confined,,,,,,,,,Moderate value habitat. Abundant gravel throughout. Isolated pools are consistent every 30 to 50 m and up to 55 cm in depth. This is a wetland type fern and alder dominated gully with mature spruce riparian.           12:49:28,2023-09-18,12:49:28
55,,Tributary to Coal Creek,8525_us2,,,,2.1,2,1.8,,,,,,metre tape,1.1,1.5,1.8,,,,,,metre tape,0.2,,,,,,,,metre stick,0.4,,,,,metre stick,2.5,,,,,clinometer,low,,,recording meter,,recording meter,,pH meter (general),clear,moderate,sub-dominant,trace,none,dominant,trace,sub-dominant,none,1-20%,few,evenly distributed,mosses,undercut,fines,,coniferous forest,young forest,undercut,fines,,coniferous forest,mature forest,gravels,cobbles,,,riffle-pool,sinuous,Decoupled,occasionally confined,,,,,,,,,Moderate value habitat. Good flow for small system and dry year. Abundant gravels throughout. Undercut banks throughout. Fish known upstream.           15:22:21,2023-09-18,15:22:21
56,,Tributary to McDonell Lake,8547_ds2,,,,2.1,1.5,2,3.1,3,,,,metre tape,1.7,0.9,0.9,1.7,1.5,,,,metre tape,0.2,,,,,,,,metre stick,0.25,0.25,,,,metre stick,5,3.5,6,,,clinometer,low,,,recording meter,,recording meter,,pH meter (general),clear,moderate,sub-dominant,dominant,trace,sub-dominant,trace,sub-dominant,none,21-40%,few,evenly distributed,mosses,undercut,fines,,coniferous forest,young forest,sloping,gravels,,coniferous forest,young forest,gravels,cobbles,,,riffle-pool,sinuous,Partially Coupled,occasionally confined,,,,,,,,,"Site access at Ford and just below historic sockeye spawning point in FISS. Very nice stream with numerous fry and par observed. Abundant gravel‘s throughout. No noticeably deep pools observed but multiple shallow pools up to 20 or 25 cm present. Good flow for time of year and dry year.
           16:59:44",2023-09-18,16:59:44
57,,Tributary to McDonell Lake,8478_ds,,,,3.1,2.2,3.6,2.2,4.1,2.8,2.7,,metre tape,2.6,1.7,2.1,1.7,2.9,2.5,1.9,,metre tape,0.2,0.3,0.4,0.3,,,,,metre stick,0.35,0.5,,,,metre stick,8,10,7,,,clinometer,low,,5.6,recording meter,153,recording meter,7.4,pH meter (general),clear,moderate,sub-dominant,dominant,trace,sub-dominant,trace,sub-dominant,none,1-20%,few,evenly distributed,none,undercut,fines,,coniferous forest,mature forest,sloping,gravels,,coniferous forest,mature forest,gravels,cobbles,,,step-pool,sinuous,Partially Coupled,occasionally confined,,,,,,,,,Moderate value habitat. Abundant gravels present and channel is stable with LWD and SWD throughout. fish captured. Pools are not deep but majority of fish captured there            10:29:22,2023-09-19,10:29:22
58,,Tributary to Zymoetz River,24601280_us,,,,1.7,2,1.8,1.3,2.4,1.4,2.3,,metre tape,1,1.7,1.5,0.6,1.8,0.6,1.3,,metre tape,0.3,0.4,0.35,0.3,,,,,metre stick,0.3,,,,,metre stick,6,7,8,,,clinometer,low,,,recording meter,,recording meter,,pH meter (general),,moderate,sub-dominant,sub-dominant,trace,dominant,trace,sub-dominant,none,41-70%,few,evenly distributed,none,undercut,fines,,coniferous forest,mature forest,sloping,gravels,,coniferous forest,mature forest,cobbles,gravels,,,step-pool,sinuous,Partially Coupled,frequently confined,,,,,,,,,Moderate value habitat. Upon a gravel is present suitable for dolly Varden spawning. Occasional pools to 0.3 and 0.35m deep. Good flow on dry year. Fish observed downstream in outlet pool. No card filled out. 17:33:59,2023-09-19,17:33:59
59,,Tributary to Zymoetz River,24601280_ds,,,,2,1.6,,,,,,,metre tape,1.8,0.9,,,,,,,metre tape,0.25,0.4,,,,,,,metre stick,,,,,,metre stick,9,,,,,clinometer,low,,,recording meter,,recording meter,,pH meter (general),,moderate,sub-dominant,sub-dominant,trace,dominant,sub-dominant,sub-dominant,none,41-70%,few,evenly distributed,none,undercut,fines,,shrubs,shrub,sloping,gravels,,mixed forest,mature forest,gravels,cobbles,,,cascade-pool,sinuous,Decoupled,unconfined,,,,,,,,," Moderate value habitat. Lol gradients from bottom of site to Zymoetz  river so likelihood  of natural barrier low. Abundant gravels, suitable for resident and anadromous fish.           18:31:39",2023-09-19,18:31:39
60,,Tributary to Zymoetz River ,8543_us,,,,3.4,3.4,2.7,3.5,3.1,3.1,3,,metre tape,0.8,0.8,1.9,1.4,1.5,0.6,,,metre tape,0.45,0.29,0.6,0.3,0.6,,,,metre stick,0.4,,,,,metre stick,3.5,7,8,5,,clinometer,low,,,recording meter,,recording meter,,pH meter (general),clear,trace,sub-dominant,sub-dominant,trace,sub-dominant,dominant,sub-dominant,trace,1-20%,few,evenly distributed,mosses,undercut,fines,,coniferous forest,mature forest,sloping,cobbles,,coniferous forest,mature forest,cobbles,gravels,,,step-pool,sinuous,Coupled,entrenched,,,,,,,,,Moderate to low value habitat. Stream is mostly dewatered but with isolated pools to 60 cm deep spaced every 30 to 40 m. Stream is entrenched in the valley with large amounts of mobile angular cobbled  substrate throughout. Fish observed in multiple isolated pools up to 300 m upstream of the crossing. No permanent Natural barriers observed.           10:35:09,2023-09-20,10:35:09
61,,Gramophone Creek,58067_ds,,,,5.5,7.3,4.8,8.6,6.4,,,,metre tape,3.2,1.7,2.9,1.5,3.7,,,,metre tape,1,0.45,0.4,0.5,0.47,,,,metre stick,0.5,0.6,,,,metre stick,4,2,2,,,clinometer,low,,8.6,recording meter,138,recording meter,7.6,pH meter (general),clear,moderate,sub-dominant,sub-dominant,trace,sub-dominant,dominant,sub-dominant,sub-dominant,1-20%,few,clumped,algae,undercut,fines,cobbles,mixed forest,mature forest,sloping,cobbles,gravels,mixed forest,mature forest,cobbles,gravels,,,riffle-pool,irregular wandering,Partially Coupled,occasionally confined,,,,,,,,,"High vale habitat. Surveyed from Telkwa Hydro to confluence with Wiggs Creek.  Low water levels with sections of stream D watered, particularly in the first 300 m of the survey. Isolated pools scattered approximately 30 to 50 m apart with pools           up to 0.6 m deep. Abundant algae in places of slow, moving water. Failing banks encountered throughout survey with Barbwire fence swapped into the stream at multiple spots. Occasional pockets of gravel present suitable for resident and anadromous salmonids. Conductivity increased from approximately 140 to 230 over the survey links indicating inputs possibly related to cattle use of the area. Extensive trampling within the channel with noted at locations throughout the survey.           10:55:05",2023-09-24,10:55:05
62,,Gramophone Creek,58067_ds2,,,,11,7.7,6.4,9.2,6.1,8,,,metre tape,2.7,3.2,1.7,2.5,3.5,2.6,,,metre tape,0.4,0.45,1.5,0.7,0.5,0.5,1.2,,metre stick,1,0.8,1,,,metre stick,2.5,3,3,,,clinometer,low,,9.7,recording meter,254,recording meter,,pH meter (general),clear,moderate,sub-dominant,sub-dominant,sub-dominant,sub-dominant,dominant,sub-dominant,sub-dominant,1-20%,few,clumped,algae,sloping,cobbles,,mixed forest,mature forest,undercut,fines,,mixed forest,mature forest,cobbles,boulders,,,riffle-pool,sinuous,Partially Coupled,occasionally confined,cascade or Chute,1.7,3.5,,,,,,High value habitat. Cite covers from confluence of Wiggs           creek to the Bulkley River. Canyon located at proximately 400 m from confluence with the Bulkley. Coho sampled below using dip netting. Canyon - 40m long with two cascade sections 1.5 and 1.7 m high on bedrock may be barrier to anadromous fish under high and low flow conditions.           12:13:53,2023-09-24,12:13:53
63,,Tributary to Tagit Creek ,198022_us,,,,2.1,1.8,3,3.1,2.2,2.4,,,metre tape,0.5,1,,,,,,,metre tape,0.25,,,,,,,,metre stick,0.3,0.3,,,,metre stick,6.5,4,3.5,1,,clinometer,low,,6.5,recording meter,112,recording meter,7.5,pH meter (general),clear,moderate,sub-dominant,sub-dominant,none,sub-dominant,trace,dominant,none,71-90%,few,evenly distributed,vascular plants,undercut,fines,,coniferous forest,mature forest,sloping,gravels,,shrubs,shrub,gravels,fines,,,riffle-pool,sinuous,Decoupled,unconfined,,,,,,,,,"Moderate value habitat.  Site survey from upper crossing down to lower crossing. Channel is the water beyond approximately 75 m from upstream crossing. Approximately 50m upstream of the road is wetland type area, dominated by willow and sedge. Several fish, approximately 70 mils long were observed in the outlet pool of the upper Crossing. Although, primarily dry, the upper part of the site beyond the wetland area contained abundant gravel’s. Residual pools were dry, except some shallow are ones near the top end of the site when gradients were greater.           10:54:14",2023-09-27,10:54:14
64,,Tributary to Tagit Creek,198022_ds_ef1,,,,1.6,1.4,,,,,,,metre tape,1.3,1.2,,,,,,,metre tape,0.25,,,,,,,,metre stick,,,,,,metre stick,,,,,,clinometer,low,,6.5,recording meter,267,recording meter,6.9,pH meter (general),clear,moderate,sub-dominant,none,none,dominant,sub-dominant,sub-dominant,none,41-70%,none,,,undercut,fines,,mixed forest,young forest,sloping,fines,,shrubs,shrub,fines,cobbles,,,,,,,,,,,,,,,Very small site at outlet pool of culvert. One Dolly Varden captured and tagged. Was underneath undercut bank. Conductivity is much higher than stream at culvert located approximately 500 m upstream.           13:42:45,2023-09-27,13:42:45
65,,Tributary to Tagit Creek,198022_us_ef1,,,,4.4,4.3,,,,,,,metre tape,4.2,3.9,,,,,,,metre tape,0.65,,,,,,,,metre stick,,,,,,metre stick,,,,,,clinometer,low,,7.6,recording meter,112,recording meter,7.5,pH meter (general),clear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA 15:35:21,2023-09-27,15:35:21
